Gene	Correlation	Labels	dot	class
ENSG00000100852.13	0.588297334			
ENSG00000196914.9	0.583635923			
ENSG00000037749.12	0.583474788			
ENSG00000080200.10	0.573631696			
ENSG00000137145.20	0.564996374			
ENSG00000188419.14	0.555498703			
ENSG00000150093.20	0.548223467			
ENSG00000102908.22	0.54790158			
ENSG00000163848.20	0.546545397			
ENSG00000157107.14	0.541650957			
ENSG00000204217.15	0.539624681			
ENSG00000144426.18	0.53959701			
ENSG00000103479.16	0.533159571			
ENSG00000138448.12	0.532159125			
ENSG00000105856.14	0.528469169			
ENSG00000102189.17	0.523997212			
ENSG00000110344.10	0.523983739			
ENSG00000163513.19	0.520604725			
ENSG00000011405.13	0.519000251			
ENSG00000151693.11	0.518391493			
ENSG00000152291.14	0.516477343			
ENSG00000173166.18	0.515875943			
ENSG00000150938.10	0.51353918			
ENSG00000023516.9	0.513439153			
ENSG00000151116.17	0.512720734			
ENSG00000151491.14	0.512064414			
ENSG00000071537.14	0.511411723			
ENSG00000159658.14	0.511000637			
ENSG00000071189.21	0.510703531			
ENSG00000139505.11	0.510663903			
ENSG00000068305.17	0.510633992			
ENSG00000082996.20	0.510142155			
ENSG00000143970.17	0.50947848			
ENSG00000145012.13	0.508502417			
ENSG00000127329.16	0.506819585			
ENSG00000134318.14	0.506397299			
ENSG00000118007.13	0.505304209			
ENSG00000122008.15	0.505134622			
ENSG00000133138.20	0.50299734			
ENSG00000168615.13	0.502928015			
ENSG00000173889.16	0.502460809			
ENSG00000135720.13	0.501879677			
ENSG00000072364.13	0.500429384			
ENSG00000106460.19	0.497584635			
ENSG00000144357.18	0.497094834			
ENSG00000163755.9	0.496858964			
ENSG00000198146.4	0.49478463			
ENSG00000048405.10	0.493937214			
ENSG00000110422.12	0.493673514			
ENSG00000164323.14	0.492559682			
ENSG00000124198.9	0.490822364			
ENSG00000133657.16	0.490736071			
ENSG00000178175.12	0.490183848			
ENSG00000186522.15	0.490052317			
ENSG00000113615.13	0.489816176			
ENSG00000115145.10	0.489358656			
ENSG00000132356.11	0.487800203			
ENSG00000109686.19	0.487243305			
ENSG00000114127.11	0.486971408			
ENSG00000115464.15	0.486141133			
ENSG00000172469.16	0.48595679			
ENSG00000164031.17	0.484780364			
ENSG00000114439.19	0.482292765			
ENSG00000147124.12	0.481954499			
ENSG00000166439.6	0.481792764			
ENSG00000145391.13	0.48068731			
ENSG00000151414.15	0.479896689			
ENSG00000185532.20	0.479659667			
ENSG00000139793.18	0.479610277			
ENSG00000115084.15	0.47883373			
ENSG00000133812.16	0.477127383			
ENSG00000065534.19	0.477051816			
ENSG00000133103.17	0.476756463			
ENSG00000145390.11	0.475713561			
ENSG00000180628.15	0.474910469			
ENSG00000196159.14	0.474838713			
ENSG00000146414.16	0.471082859			
ENSG00000174912.7	0.470104205			
ENSG00000121879.6	0.470026443			
ENSG00000114698.15	0.469652464			
ENSG00000185164.14	0.469564136			
ENSG00000078747.16	0.469124774			
ENSG00000129422.14	0.468876405			
ENSG00000166046.11	0.468440488			
ENSG00000073921.18	0.468127693			
ENSG00000014123.10	0.467008178			
